comfort_food,comfort_food_reasons
"Chocolate, Chips, Ice Cream","Stress, Boredom, Anger"
"Frozen Yogurt, Pizza, Fast Food","Stress, Sadness"
"Pizza, Mac and Cheese, Ice Cream","Boredom"
"Ice Cream, Chocolate, Chips","Stress, Boredom, Cravings"
"Candy, Brownies, Soda","None"
"Chocolate, Ice Cream, French Fries, Pretzels","Stress, Boredom"
"Ice Cream, Cheeseburgers, Chips","Stress, Sadness"
"Donuts, Ice Cream, Chips","Boredom"
"Mac and Cheese, Chocolate, Pasta","Stress, Anger, Sadness"
"Pasta, Chocolate Cake","Boredom"
"Chocolate, Pasta, Soup, Chips, Popcorn","Sadness, Stress, Cold Weather"
"Cookies, Popcorn, Chips","Sadness, Boredom, Nighttime"
"Ice Cream, Cake, Chocolate","Stress, Boredom, Special Occasions"
"Pizza, Fruit, Spaghetti, Chicken, Potatoes","Boredom, Friends, Environment"
"Cookies, Donuts, Candy Bars","Boredom"
"Saltfish, Candy, Kit Kat","Stress"
"Chips, Cookies, Ice Cream","Boredom"
"Chocolate, Ice Cream","Sadness, Stress"
"Pizza, Wings, Chinese Food","Boredom, Sadness, Hunger"
"Fast Food, Pizza, Subs","Happiness, Satisfaction"
"Chocolate, Sweets, Ice Cream","Boredom"
"Burgers, Chips, Cookies","Sadness, Depression"
"Chilli, Soup, Pot Pie","Stress, Boredom" 
"Soup, Pasta, Brownies, Cake","Illness, Cold Weather"
"Chocolate, Ice Cream, Milkshakes, Cookies","Boredom"
"Chips, Ice Cream, Microwaveable Foods","Boredom, Laziness"
"Chicken Fingers, Pizza","Boredom"
"Cookies, Hot Chocolate, Beef Jerky","Survival, Boredom"
"Tomato Soup, Pizza, Fritos, Meatball Subs, Dr. Pepper","Boredom, Anger, Drunkness"
"Cookies, Mac and Cheese, Brownies, French Fries","Stress, Boredom, Cold Weather"
"Chips and Dip, Pepsi","Stress, Boredom, Nighttime"
"Chinese Food, Peruvian Food, Sushi","Hunger, Boredom"
"Ice Cream, Cookies, Chinese Food, Chicken Nuggets","Boredom, Sadness"
"French Fries, Chips, Ice Cream","Boredom, Stress, Sadness"
"Mac and Cheese, Peanut Butter and Banana Sandwiches, Omelettes","Boredom"
"Pizza, Donuts, McDonalds","Boredom"
"Chocolate, Chips, Candy","Stress"
"Chocolate, Popcorn, Ice Cream","Boredom, Stress"
"Candy, Pop, Chocolate, Chipotle, Moe's","None"
"Pizza, Ice Cream, French Fries, Cereal, Cookies","Sadness, Depression"
"Ice Cream, Chocolate, Twizzlers","Tiredness"
"Ice Cream, Cookie Dough, Cookies, Cheese","Boredom, Sadness"
"Ice Cream, Cereal, Salt and Vinegar Chips","Sadness, Boredom, Confusion"
"Potato Chips, Ice Cream, Chocolate, Cookies","Stress, Boredom, Cravings"
"Mac and Cheese, Fried Chicken, Cornbread","Hunger, Boredom"
"Popcorn, Chips, Candy, French Fries","Sadness, Boredom, Anger"
"Chex Mix, Wegmans Cookies, Cheez-Its","Boredom, Happiness, Distraughtness"
"Pizza, Ice Cream, Chips","Stress, Upset, Cravings"
"Fried Chicken, Mashed Potatoes, Mac and Cheese","Taste, Accessibility"
"Popcorn, Chex Mix, Pizza","Stress, Boredom"
"Burgers","Laziness"
"Pizza, Chocolate, Ice Cream","Boredom, Sadness, Anger"
"French Fries, Chips, Fried Chicken, Pizza, Grapes","Boredom, Sadness"
"Peanut Butter Sandwiches, Pretzels, Garlic Bread","Stress, Anger, Boredom"
"Chips, Dip, French Fries, Pizza","Boredom, Stress"
"Pizza, Ice Cream, Chicken Wings","Boredom, Happiness, Sadness"
"Pizza, Chocolate, Chips, Bagels, Ice Cappuccino","None"
"Chocolate, Ice Cream, Pasta","Stress, Boredom, Sadness"
"Mac and Cheese, Chips and Salsa, Ice Cream","Boredom, Celebration"
"Peanut Butter, Desserts, Pretzels","Sadness, Boredom, Loneliness"
"Macaroons, Truffles, Peanut Butter and Chocolate Ice Cream","Sadness, Special Occasions, Anxiety"
"Ice Cream, Cookies, Ice Cream","Boredom, Sadness"
"Carrots and Ranch, Pretzels, Dark Chocolate","Sadness"
"Cookies, Nutella, Ice Cream, Coffee, Fruit","Boredom, Happiness, Sadness"
"Mac and Cheese","Boredom"
"Chocolate, Popcorn, Ice Cream","Sadness"
"Ice Cream, Cake, Mozzarella Sticks, Pierogi","Boredom"
"Chips, Mac and Cheese, Pizza, French Fries","Stress, Sadness, Boredom"
"Pizza, Burritos, Slim Jims","Boredom, Stress, Taste"
"Broccoli, Spaghetti, Squash, Quinoa, Grilled Chicken","Bad Day, Boredom, Sadness"
"Chocolate, Ice Cream, Cookie Dough","Boredom, Menstruation"
"Pizza, Pretzels, Fruit, Deli Sandwiches","Boredom, Anger, Happy"
"Chips, Ice Cream","Boredom, Stress"
"Mac and Cheese, Potato Soup, Ice Cream, Chips, Cheese","Sadness, Stress, Boredom"
"Chocolate, Pizza, Mashed Potatoes","Boredom, Stress"
"Pizza, Cookies, Steak","Boredom, Hunger" 
"Chocolate, Fruit, Ice Cream","Stress, Boredom"
"Chips, Sweets, Popcorn","Boredom"
"Cookies, Burgers, Chicken Noodle Soup, Ice Cream","Happiness, Hunger, Sadness"
"Cake, French Fries, Chicken Nuggets","Boredom, Sadness"
"Pizza, Ice Cream, Cookies","Boredom"
"Mashed Potatoes, Pasta","Boredom, Sadness, Friends"
"Pasta, Cheesecake, Pancakes","Sadness, Loneliness, Boredom"
"Ice Cream, Pizza, Cookies","Stress"
"Chinese Food, Moe's, Sponge Candy, Lasagna","Boredom, Sadness"
"Pizza, Pasta, Mac and Cheese","Sadness, Cravings"
"Little Debbie's, Donuts, Pizza","None"
"Carrots, Plantain Chips, Almonds, Popcorn","Stress, Boredom"
"Chips, Ice Cream, Fruits","Boredom"
"Mac and Cheese, Chicken Noodle Soup, Pizza","Boredom, Stress"
"Chocolate, Chips, Ice Cream, French Fries, Pizza","Stress, Sadness, Boredom"
"Mac and Cheese, Lasagna, Chinese Food","Boredom, Sadness"
"Candy, Chinese Food, McDonalds","Laziness, Hangover"
"Doritos, Mac and Cheese, Ice Cream","Boredom, Hunger"
"Ice Cream, Cake, Pop, Pizza, Milkshakes","Happiness, Sadness, Celebration"
"Mac and Cheese, Pizza, Ice Cream, French Fries","Boredom, Anger, Hunger"
"Soup, Pasta, Cake","Depression, Comfort, Accessibility"
"Mac and Cheese, Frosted Brownies, Chicken Nuggets","Anger, Boredom"
"Watermelon, Grapes, Ice Cream","Sadness, Boredom, Excitedness"
"Mac and Cheese, Stuffed Peppers, Hamburgers, French Fries","Boredom, Stress, Mood Swings"
"Pizza, Mashed Potatoes, Spaghetti","Anger, Sadness"
"Dark Chocolate, Terra Chips, Reese's Cups Dark Chocolate, Bread and Crackers with Cottage Cheese","Anxiousness, Watching TV"
"Chips, Chocolate, Mozzarella Sticks","Boredom, Sadness, Anxiety"
"Ice Cream, Chips, Candy","Boredom, Laziness, Anger"
"Pizza, Soda, Chocolate Brownies, Chicken Tikka Masala, Butter Naan","Stress, Sadness"
"Chocolate, Pasta, Cookies","Stress, Boredom"
"Candy, Salty Snacks, Toast","Stress, Sadness, Boredom"
"Mac and Cheese, Pizza, Mozzarella Sticks","Stress, Frustration, Self-Consciousness"
"Ice Cream, Pizza, Chocolate","Sadness, Cravings"
"Snacks, Chips","Boredom"
"Chocolate, Ice Cream, Pizza","Sadness, Happiness, Boredom"
"Ice Cream, Pizza, Chinese Food","Boredom, Sadness"
"Burgers, Indian Food, Korean Food","Sadness, Happiness, Hunger"
"Chocolate Bars, Ice Cream, Pretzels, Potato Chips, Protein Bars","Stress, Boredom, Physical Activity"
"Ice Cream, Chocolate, Pizza, Cucumber","Loneliness, Homework, Boredom"
"Noodles, Tuna Sandwiches, Eggs","Friends, Tiredness, Taste"
"Chinese Food, Chips, Cake","Stress, Boredom"
"Chips, Rice, Chicken Curry","Happiness, Boredom, Socializing"
"Wine, Mac and Cheese, Pizza, Ice Cream","Boredom, Sadness"
"Pizza, Wings, Cheesecake","Loneliness, Homesickness, Sadness"
"Rice, Potatoes, Seaweed Soup","Sadness"
"Mac and Cheese, Lasagna, Pizza","Happiness"
"Chocolate, Pizza, Ritz","Hormones, Menstruation"
